ID	name	raw	element	eleValue	elementTwo	eleValueTwo	affinity	sharpness	sharpOne	sharpTwo
51	Arzuros Axe Lv. 4	160	(No Element)	0	SA - Poison	33	0	Green	Green	Blue
52	Arzuros Axe Lv. 5	180	(No Element)	0	SA - Poison	34	0	Blue	Blue	White
53	Arzuros Revelax Lv. 6	220	(No Element)	0	SA - Poison	35	0	Blue	White	White
54	Arzuros Revelax Lv. 7	250	(No Element)	0	SA - Poison	37	0	Blue	White	White
55	Arzuros Jubilax Lv. 8	310	(No Element)	0	SA - Poison	40	0	White	White	Purple
56	Yukumo Switch Axe Lv. 1	70	(No Element)	0	(No Element)	0	0	Green	Green	Green
57	Yukumo Switch Axe Lv. 2	90	(No Element)	0	(No Element)	0	0	Green	Green	Green
58	Yukumo Switch Axe Lv. 3	120	(No Element)	0	(No Element)	0	0	Green	Green	Green
59	Yukumo Switch Axe Lv. 4	140	(No Element)	0	(No Element)	0	0	Green	Blue	Blue
60	Yukumo Axe Lv. 5	180	(No Element)	0	(No Element)	0	0	Green	Blue	Blue
61	Yukumo Axe Lv. 6	260	(No Element)	0	(No Element)	0	0	Green	Blue	Blue
62	Yukumo Axe Lv. 7	320	(No Element)	0	(No Element)	0	0	Green	Blue	Blue
63	Hot Spring Axe Lv. 8	350	(No Element)	0	(No Element)	0	0	Green	Blue	White
64	The Shredder Lv. 1	90	Thunder	10	(No Element)	0	0	Green	Green	Green
65	The Shredder Lv. 2	100	Thunder	12	(No Element)	0	0	Green	Green	Green
66	The Shredder Lv. 3	140	Thunder	16	(No Element)	0	0	Blue	Blue	Blue
67	The Shredder Lv. 4	160	Thunder	18	(No Element)	0	0	Blue	Blue	White
68	The Power Shredder Lv. 5	210	Thunder	22	(No Element)	0	0	Blue	Blue	White
69	The Power Shredder Lv. 6	260	Thunder	24	(No Element)	0	0	Blue	Blue	White
70	The Lightning Shredder Lv. 7	330	Thunder	26	(No Element)	0	0	Blue	White	White
71	Bruiser Axe Lv. 1	80	Poison	25	(No Element)	0	0	Green	Green	Green
72	Bruiser Axe Lv. 2	90	Poison	28	(No Element)	0	0	Green	Green	Green
73	Bruiser Axe Lv. 3	130	Poison	30	(No Element)	0	0	Green	Green	Green
74	Bruiser Axe Lv. 4	150	Poison	34	(No Element)	0	0	Blue	Blue	White
75	Chief Bruiser Axe Lv. 5	180	Poison	36	(No Element)	0	0	Blue	White	White
76	Chief Bruiser Axe Lv. 6	240	Poison	38	(No Element)	0	0	Blue	White	Purple
77	Emperor Bruiser Axe Lv. 7	300	Poison	40	(No Element)	0	0	White	White	Purple
78	Reckless Hatchet Lv. 1	120	(No Element)	0	SA - Exhaust	10	-10	Green	Green	Green
79	Reckless Hatchet Lv. 2	130	(No Element)	0	SA - Exhaust	12	-10	Green	Green	Blue
80	Reckless Hatchet Lv. 3	150	(No Element)	0	SA - Exhaust	14	-10	Green	Blue	Blue
81	Reckless Hatchet Lv. 4	180	(No Element)	0	SA - Exhaust	16	-15	Green	Blue	Blue
82	Reckless Hatchet Lv. 5	200	(No Element)	0	SA - Exhaust	18	-15	Blue	White	White
83	Vine Splitter Lv. 6	240	(No Element)	0	SA - Exhaust	20	-20	Blue	White	White
84	Vine Splitter Lv. 7	270	(No Element)	0	SA - Exhaust	22	-20	Blue	White	White
85	Audacious Hatchet Lv. 8	360	(No Element)	0	SA - Exhaust	24	-20	Blue	White	White
86	Scissor Axe Lv. 1	110	Water	8	(No Element)	0	0	Yellow	Yellow	Green
87	Scissor Axe Lv. 2	120	Water	11	(No Element)	0	0	Green	Green	Green
88	Scissor Axe Lv. 3	140	Water	12	(No Element)	0	0	Green	Green	Blue
89	Scissor Axe Lv. 4	170	Water	14	(No Element)	0	0	Blue	Blue	White
90	Megatalon Shears Lv. 5	200	Water	15	(No Element)	0	0	Blue	Blue	White
91	Megatalon Shears Lv. 6	230	Water	27	(No Element)	0	0	Blue	White	White
92	Megatalon Shears Lv. 7	260	Water	27	(No Element)	0	0	White	White	White
93	Colossoclaw Shears Lv. 8	310	Water	27	(No Element)	0	0	White	White	Purple
94	Binding Roller Lv. 1	110	Para	12	(No Element)	0	0	Green	Green	Green
95	Binding Roller Lv. 2	120	Para	13	(No Element)	0	0	Green	Green	Green
96	Binding Roller Lv. 3	130	Para	15	(No Element)	0	0	Green	Green	Green
97	Binding Roller Lv. 4	150	Para	16	(No Element)	0	0	Green	Blue	Blue
98	Vermilingua Lv. 5	170	Para	18	(No Element)	0	0	Blue	Blue	White
99	Vermilingua Lv. 6	230	Para	20	(No Element)	0	0	Blue	White	White
100	Vermilingua Lv. 7	260	Para	22	(No Element)	0	0	White	White	White
101	Vermilion Bloodaxe Lv. 8	280	Para	25	(No Element)	0	0	White	Purple	Purple
102	Ludroth Axe Lv. 1	100	Water	12	(No Element)	0	0	Green	Green	Green
103	Ludroth Axe Lv. 2	130	Water	18	(No Element)	0	0	Green	Green	Green
104	Ludroth Axe Lv. 3	140	Water	22	(No Element)	0	5	Blue	Blue	Blue
105	Ludroth Axe Lv. 4	180	Water	27	(No Element)	0	5	Blue	Blue	Blue
106	Splish Splax Lv. 5	210	Water	30	(No Element)	0	5	Blue	Blue	White
107	Splish Splax Lv. 6	240	Water	31	(No Element)	0	5	Blue	Blue	White
108	Splish Splax Lv. 7	270	Water	32	(No Element)	0	5	White	White	White
109	Ludroth Drencher Lv. 8	310	Water	33	(No Element)	0	5	White	Purple	Purple
110	Dream Captor Lv. 1	90	Sleep	10	(No Element)	0	0	Green	Green	Green
111	Dream Captor Lv. 2	110	Sleep	12	(No Element)	0	0	Green	Green	Green
112	Dream Captor Lv. 3	120	Sleep	14	(No Element)	0	0	Green	Green	Blue
113	Dream Captor Lv. 4	140	Sleep	15	(No Element)	0	0	Blue	Blue	Blue
114	Dream Captor Lv. 5	160	Sleep	16	(No Element)	0	0	Blue	Blue	White
115	Somniferous Talon Lv. 6	180	Sleep	18	(No Element)	0	0	Blue	Blue	White
116	Somniferous Talon Lv. 7	240	Sleep	20	(No Element)	0	0	White	White	White
117	Somniferous Talon Lv. 8	260	Sleep	22	(No Element)	0	0	White	White	White
118	Hypnotic Talon Lv. 9	310	Sleep	25	(No Element)	0	0	White	Purple	Purple
119	Flickaxe Lv. 1	110	(No Element)	0	SA - Para	18	0	Green	Green	Green
120	Flickaxe Lv. 2	130	(No Element)	0	SA - Para	20	0	Green	Green	Green
121	Flickaxe Lv. 3	140	(No Element)	0	SA - Para	21	0	Green	Green	Blue
122	Flickaxe Lv. 4	170	(No Element)	0	SA - Para	22	0	Green	Blue	Blue
123	Flick Helix Lv. 5	200	(No Element)	0	SA - Para	23	0	Green	White	White
124	Flick Helix Lv. 6	250	(No Element)	0	SA - Para	25	0	Blue	White	White
125	Flick Angriff Lv. 7	310	(No Element)	0	SA - Para	27	0	Blue	White	White
126	Hidden Axe Lv. 1	100	(No Element)	0	SA - Poison	8	40	Green	Blue	Blue
127	Hidden Axe Lv. 2	120	(No Element)	0	SA - Poison	10	40	Blue	Blue	White
128	Hidden Axe Lv. 3	150	(No Element)	0	SA - Poison	12	40	Blue	Blue	White
129	Hidden Axe Lv. 4	170	(No Element)	0	SA - Poison	14	40	White	White	White
130	Night's Crescent Lv. 5	190	(No Element)	0	SA - Poison	16	40	White	White	White
131	Night's Crescent Lv. 6	250	(No Element)	0	SA - Poison	18	40	White	White	White
132	Night's Crescent Lv. 7	270	(No Element)	0	SA - Poison	20	40	Purple	Purple	Purple
133	Avidya Axe Lv. 8	290	(No Element)	0	SA - Poison	22	45	Purple	Purple	Purple
134	Grim Cat Lv. 1	80	Para	20	(No Element)	0	0	Green	Green	Green
135	Grim Cat Lv. 2	100	Para	22	(No Element)	0	0	Green	Green	Green
136	Grim Cat Lv. 3	120	Para	23	(No Element)	0	0	Green	Blue	Blue
137	Grimmige Katze Lv. 4	140	Para	25	(No Element)	0	0	Green	Blue	Blue
138	Grimmige Katze Lv. 5	170	Para	27	(No Element)	0	0	Blue	White	White
139	Felyne Fatality Lv. 6	270	Para	30	(No Element)	0	0	Blue	White	White
140	Rough Edge Lv. 1	100	(No Element)	0	SA - Dragon	15	0	Green	Green	Green
141	Rough Edge Lv. 2	110	(No Element)	0	SA - Dragon	22	5	Green	Green	Green
142	Rough Edge Lv. 3	130	(No Element)	0	SA - Dragon	24	10	Green	Blue	Blue
143	Rough Edge Lv. 4	150	(No Element)	0	SA - Dragon	26	15	Blue	Blue	White
144	Soulbreaker Lv. 5	190	(No Element)	0	SA - Dragon	28	15	Blue	Blue	White
145	Soulbreaker Lv. 6	220	(No Element)	0	SA - Dragon	30	15	White	White	White
146	Soulbreaker Lv. 7	250	(No Element)	0	SA - Dragon	30	15	White	White	White
147	Helios Crusher Lv. 8	310	(No Element)	0	SA - Dragon	32	15	White	White	White
148	Arctic Ledge Lv. 1	80	Ice	22	(No Element)	0	0	Green	Green	Green
149	Arctic Ledge Lv. 2	120	Ice	25	(No Element)	0	0	Green	Green	Green
150	Arctic Ledge Lv. 3	150	Ice	28	(No Element)	0	0	Green	Green	Green
151	Ledge Axe Lv. 4	170	Ice	30	(No Element)	0	0	Green	Green	Blue
152	Ledge Axe Lv. 5	210	Ice	32	(No Element)	0	0	Green	Blue	Blue
153	Axledge Icerunner Lv. 6	300	Ice	35	(No Element)	0	0	Green	Blue	Blue
154	Gouda Axe Lv. 1	100	(No Element)	0	SA - Exhaust	15	0	Green	Green	Green
155	Gouda Axe Lv. 2	110	(No Element)	0	SA - Exhaust	18	0	Green	Blue	Blue
156	Gouda Axe Lv. 3	130	(No Element)	0	SA - Exhaust	23	0	Blue	Blue	White
157	Gouda Axe Lv. 4	140	(No Element)	0	SA - Exhaust	27	0	White	White	White
158	Aged Gouda Axe Lv. 5	150	(No Element)	0	SA - Exhaust	30	0	White	White	White
159	Aged Gouda Axe Lv. 6	200	(No Element)	0	SA - Exhaust	32	0	Purple	Purple	Purple
160	Boerenkaas Axe Lv. 7	290	(No Element)	0	SA - Exhaust	35	0	Purple	Purple	Purple
161	Obsidian Axe Lv. 1	140	(No Element)	0	SA - Dragon	18	0	Green	Blue	Blue
162	Obsidian Axe Lv. 2	150	(No Element)	0	SA - Dragon	20	0	Blue	Blue	White
163	Obsidian Axe Lv. 3	160	(No Element)	0	SA - Dragon	21	0	Blue	Blue	White
164	Obsidian Axe Lv. 4	180	(No Element)	0	SA - Dragon	22	0	Blue	Blue	White
165	Obsidian Axe Lv. 5	200	(No Element)	0	SA - Dragon	23	0	Blue	White	White
166	Relic Axe Lv. 6	220	(No Element)	0	SA - Dragon	24	0	Blue	White	White
167	Relic Axe Lv. 7	280	(No Element)	0	SA - Dragon	26	0	White	White	White
168	Ethereal Axe Lv. 8	330	(No Element)	0	SA - Dragon	28	0	White	Purple	Purple
169	Elite Switch Axe Lv. 1	110	(No Element)	0	(No Element)	0	0	Green	Green	Green
170	Elite Switch Axe Lv. 2	120	(No Element)	0	(No Element)	0	0	Green	Green	Green
171	Elite Switch Axe Lv. 3	130	(No Element)	0	(No Element)	0	0	Green	Blue	Blue
172	Elite Switch Axe Lv. 4	140	(No Element)	0	(No Element)	0	0	Green	Blue	Blue
173	Elite Switch Axe Lv. 5	160	(No Element)	0	(No Element)	0	0	Blue	Blue	Blue
174	Czar Switch Axe Lv. 6	190	(No Element)	0	(No Element)	0	0	Blue	Blue	White
175	Czar Switch Axe Lv. 7	250	(No Element)	0	(No Element)	0	0	Blue	White	White
176	Valor Switch Axe Lv. 8	310	(No Element)	0	(No Element)	0	0	White	White	White
177	Power Gasher Lv. 1	120	(No Element)	0	SA - Poison	14	0	Green	Green	Green
178	Power Gasher Lv. 2	150	(No Element)	0	SA - Poison	16	0	Green	Green	Green
179	Power Gasher Lv. 3	180	(No Element)	0	SA - Poison	18	0	Green	Green	Green
180	Power Gasher Lv. 4	200	(No Element)	0	SA - Poison	20	0	Blue	Blue	Blue
181	Maximal Gasher Lv. 5	220	(No Element)	0	SA - Poison	22	0	Blue	White	White
182	Maximal Gasher Lv. 6	250	(No Element)	0	SA - Poison	25	0	Blue	White	Purple
183	Powerhouse Gasher Lv. 7	340	(No Element)	0	SA - Poison	27	0	Blue	Purple	Purple
184	Motor Burst Lv. 1	140	Fire	15	(No Element)	0	0	Yellow	Green	Green
185	Motor Burst Lv. 2	150	Fire	18	(No Element)	0	0	Green	Green	Green
186	Motor Burst Lv. 3	160	Fire	20	(No Element)	0	0	Green	Green	Green
187	Motor Burst Lv. 4	180	Fire	24	(No Element)	0	0	Green	Blue	Blue
188	Gigant Burst Lv. 5	210	Fire	28	(No Element)	0	0	Blue	White	White
189	Gigant Burst Lv. 6	300	Fire	30	(No Element)	0	0	Blue	White	White
190	Giganceladus Lv. 7	330	Fire	33	(No Element)	0	0	Blue	White	White
191	Dragonmaiden Axe Lv. 1	110	Poison	10	(No Element)	0	0	Green	Green	Green
192	Dragonmaiden Axe Lv. 2	120	Poison	14	(No Element)	0	0	Green	Green	Blue
193	Dragonmaiden Axe Lv. 3	140	Poison	16	(No Element)	0	0	Green	Blue	Blue
194	Dragonmaiden Axe Lv. 4	170	Poison	20	(No Element)	0	0	Blue	Blue	White
195	Gríor's Landmaker Lv. 5	210	Poison	24	(No Element)	0	0	Blue	Blue	White
196	Gríor's Landmaker Lv. 6	270	Poison	26	(No Element)	0	0	Blue	White	White
197	Gríor's Landforger Lv. 7	310	Poison	28	(No Element)	0	0	White	Purple	Purple
198	Rath Flame Splitter Lv. 1	120	Fire	25	(No Element)	0	0	Green	Green	Green
199	Rath Flame Splitter Lv. 2	150	Fire	26	(No Element)	0	0	Green	Green	Blue
200	Rath Flame Splitter Lv. 3	180	Fire	28	(No Element)	0	0	Green	Blue	Blue
201	Rath Flame Splitter Lv. 4	200	Fire	29	(No Element)	0	0	Green	Blue	Blue
202	Rath Blaze Splitter Lv. 5	220	Fire	30	(No Element)	0	0	Green	Blue	White
203	Rath Blaze Splitter Lv. 6	290	Fire	32	(No Element)	0	0	Blue	White	White
204	Rath Blaze Splitter Lv. 7	310	Fire	34	(No Element)	0	0	Blue	White	White
205	Rath Inferno Splitter Lv. 8	320	Fire	36	(No Element)	0	0	White	White	Purple
206	Bolt Axe Lv. 1	120	Thunder	8	(No Element)	0	0	Green	Green	Green
207	Bolt Axe Lv. 2	140	Thunder	9	(No Element)	0	0	Green	Green	Green
208	Bolt Axe Lv. 3	150	Thunder	10	(No Element)	0	0	Green	Green	Blue
209	Bolt Axe Lv. 4	200	Thunder	12	(No Element)	0	0	Blue	Blue	Blue
210	High Bolt Axe Lv. 5	220	Thunder	13	(No Element)	0	0	Blue	White	White
211	High Bolt Axe Lv. 6	300	Thunder	15	(No Element)	0	0	Blue	White	White
212	Extreme Bolt Axe Lv. 7	330	Thunder	17	(No Element)	0	0	White	White	White
213	Usurper's Downpour Lv. 1	120	Thunder	22	(No Element)	0	0	Green	Green	Green
214	Usurper's Downpour Lv. 2	130	Thunder	23	(No Element)	0	0	Green	Blue	Blue
215	Usurper's Downpour Lv. 3	180	Thunder	24	(No Element)	0	0	Blue	Blue	Blue
216	Despot's Cloudburst Lv. 4	200	Thunder	25	(No Element)	0	0	Blue	White	White
217	Despot's Cloudburst Lv. 5	260	Thunder	27	(No Element)	0	0	White	White	White
218	Despot's Cloudburst Lv. 6	290	Thunder	29	(No Element)	0	0	White	White	Purple
219	Oppressor's Deluge Lv. 7	320	Thunder	32	(No Element)	0	0	White	Purple	Purple
220	Fond Farewell Lv. 1	130	Water	16	(No Element)	0	0	Green	Green	Green
221	Fond Farewell Lv. 2	140	Water	18	(No Element)	0	0	Green	Green	Green
222	Fond Farewell Lv. 3	150	Water	22	(No Element)	0	10	Green	Blue	Blue
223	Fond Farewell Lv. 4	170	Water	24	(No Element)	0	10	Blue	White	White
224	Fond Farewell Lv. 5	190	Water	26	(No Element)	0	10	Blue	White	White
225	Parting Slice Lv. 6	200	Water	28	(No Element)	0	10	Blue	White	White
226	Parting Slice Lv. 7	270	Water	30	(No Element)	0	10	White	White	White
227	Parting Slice Lv. 8	290	Water	32	(No Element)	0	10	White	White	Purple
228	Leave-Taker Lv. 9	300	Water	35	(No Element)	0	10	White	Purple	Purple
229	Voltaic Axe Lv. 1	120	Thunder	16	(No Element)	0	15	Green	Green	Green
230	Voltaic Axe Lv. 2	130	Thunder	18	(No Element)	0	15	Green	Green	Blue
231	Voltaic Axe Lv. 3	150	Thunder	20	(No Element)	0	20	Blue	Blue	White
232	Voltaic Axe Lv. 4	160	Thunder	22	(No Element)	0	20	Blue	White	White
233	Voltaic Axe Lv. 5	170	Thunder	26	(No Element)	0	20	White	White	White
234	Voltaic End Lv. 6	180	Thunder	28	(No Element)	0	20	White	White	White
235	Voltaic End Lv. 7	250	Thunder	30	(No Element)	0	20	White	White	White
236	Voltaic End Lv. 8	270	Thunder	32	(No Element)	0	20	Purple	Purple	Purple
237	Voltaic Load Lv. 9	290	Thunder	35	(No Element)	0	20	Purple	Purple	Purple
238	Giant's Axe Lv. 1	140	Ice	16	(No Element)	0	-20	Green	Green	Green
239	Giant's Axe Lv. 2	150	Ice	18	(No Element)	0	-20	Green	Green	Blue
240	Giant's Axe Lv. 3	170	Ice	20	(No Element)	0	-20	Green	Blue	Blue
241	Giant's Axe Lv. 4	190	Ice	22	(No Element)	0	-20	Blue	Blue	Blue
242	Giant's Axe Lv. 5	210	Ice	24	(No Element)	0	-20	Blue	Blue	Blue
243	Colossus's Axe Lv. 6	230	Ice	26	(No Element)	0	-20	Blue	Blue	White
244	Colossus's Axe Lv. 7	300	Ice	28	(No Element)	0	-20	White	White	White
245	Colossus's Axe Lv. 8	320	Ice	30	(No Element)	0	-20	White	White	Purple
246	Behemoth's Axe Lv. 9	340	Ice	32	(No Element)	0	-20	White	White	Purple
247	Scorching Drafa Lv. 1	130	Fire	16	(No Element)	0	0	Green	Green	Green
248	Scorching Drafa Lv. 2	140	Fire	18	(No Element)	0	0	Green	Green	Green
249	Scorching Drafa Lv. 3	160	Fire	20	(No Element)	0	0	Green	Green	Blue
250	Scorching Drafa Lv. 4	180	Fire	22	(No Element)	0	0	Blue	Blue	Blue
251	Scorching Drafa Lv. 5	200	Fire	24	(No Element)	0	0	Blue	Blue	White
252	Glavenus's Grimace Lv. 6	210	Fire	26	(No Element)	0	0	Blue	White	White
253	Glavenus's Grimace Lv. 7	280	Fire	28	(No Element)	0	0	White	White	White
254	Glavenus's Grimace Lv. 8	300	Fire	30	(No Element)	0	0	White	White	White
255	Glavenus's Grimanova Lv. 9	320	Fire	32	(No Element)	0	0	White	Purple	Purple
256	Eisenleib Lv. 1	120	Dragon	10	(No Element)	0	15	Green	Green	Green
257	Eisenleib Lv. 2	130	Dragon	12	(No Element)	0	15	Green	Blue	Blue
258	Eisenleib Lv. 3	150	Dragon	14	(No Element)	0	20	Blue	Blue	Blue
259	Eisenleib Lv. 4	170	Dragon	15	(No Element)	0	25	Blue	Blue	White
260	Eisengeist Lv. 5	190	Dragon	16	(No Element)	0	30	Blue	White	White
261	Eisengeist Lv. 6	290	Dragon	18	(No Element)	0	30	Blue	White	White
262	Eisenherz Lv. 7	310	Dragon	20	(No Element)	0	30	Blue	Purple	Purple
263	Aksa Switch Lv. 1	140	(No Element)	0	(No Element)	0	10	Blue	Blue	Blue
264	Aksa Switch Lv. 2	150	(No Element)	0	(No Element)	0	10	Blue	Blue	Blue
265	Aksa Switch Lv. 3	160	(No Element)	0	(No Element)	0	10	Blue	White	White
266	Aksa Switch Lv. 4	180	(No Element)	0	(No Element)	0	10	White	White	White
267	Baran Defiance Lv. 5	190	(No Element)	0	(No Element)	0	10	White	White	White
268	Baran Defiance Lv. 6	270	(No Element)	0	(No Element)	0	10	White	White	Purple
269	Baran Rebellion Lv. 7	310	(No Element)	0	(No Element)	0	10	White	Purple	Purple
270	Rex Slasher Lv. 1	140	(No Element)	0	SA - Exhaust	20	-15	Blue	Blue	Blue
271	Rex Slasher Lv. 2	160	(No Element)	0	SA - Exhaust	22	-15	Blue	Blue	Blue
272	Rex Slasher Lv. 3	200	(No Element)	0	SA - Exhaust	24	-10	Blue	Blue	White
273	Rex Gnasher Lv. 4	220	(No Element)	0	SA - Exhaust	25	-10	White	White	White
274	Rex Gnasher Lv. 5	280	(No Element)	0	SA - Exhaust	28	-10	White	White	White
275	Rex Gnasher Lv. 6	320	(No Element)	0	SA - Exhaust	30	-10	White	White	White
276	Rex Thrasher Lv. 7	340	(No Element)	0	SA - Exhaust	32	-10	Purple	Purple	Purple
277	Peal Lv. 1	110	Thunder	28	(No Element)	0	0	Blue	Blue	White
278	Peal Lv. 2	120	Thunder	30	(No Element)	0	0	Blue	Blue	White
279	Peal Lv. 3	130	Thunder	36	(No Element)	0	0	Blue	Blue	White
280	Peal Lv. 4	140	Thunder	42	(No Element)	0	0	Blue	White	White
281	Kirin Thunderpeal Lv. 5	150	Thunder	48	(No Element)	0	0	Blue	White	White
282	Kirin Thunderpeal Lv. 6	230	Thunder	50	(No Element)	0	0	White	White	White
283	Kirin Thunderpeal Lv. 7	250	Thunder	52	(No Element)	0	0	White	White	White
284	Archbeast Kirin Lv. 8	280	Thunder	55	(No Element)	0	0	White	White	Purple
285	Dios Axe Lv. 1	120	Blast	17	(No Element)	0	0	Green	Green	Green
286	Dios Axe Lv. 2	140	Blast	20	(No Element)	0	0	Green	Green	Blue
287	Dios Axe Lv. 3	160	Blast	22	(No Element)	0	0	Green	Blue	Blue
288	Dios Axe Lv. 4	200	Blast	24	(No Element)	0	0	Blue	White	White
289	Grand Slasher Lv. 5	210	Blast	26	(No Element)	0	0	Blue	White	White
290	Grand Slasher Lv. 6	300	Blast	28	(No Element)	0	0	Blue	White	White
291	Magnificent Slasher Lv. 7	330	Blast	30	(No Element)	0	0	Blue	White	Purple
292	La Guillotine Lv. 1	130	Dragon	15	(No Element)	0	30	Blue	Blue	White
293	La Guillotine Lv. 2	140	Dragon	16	(No Element)	0	30	Blue	Blue	White
294	La Guillotine Lv. 3	150	Dragon	17	(No Element)	0	35	White	White	White
295	La Guillotine Lv. 4	160	Dragon	18	(No Element)	0	35	White	White	White
296	Le Sursis Lv. 5	170	Dragon	20	(No Element)	0	35	White	White	White
297	Le Sursis Lv. 6	240	Dragon	21	(No Element)	0	35	White	White	White
298	Le Sursis Lv. 7	260	Dragon	23	(No Element)	0	35	White	White	White
299	La Conclusion Lv. 8	280	Dragon	25	(No Element)	0	35	White	Purple	Purple
300	Daora's Farasa Lv. 1	130	Ice	20	(No Element)	0	5	Green	Green	Blue
301	Daora's Farasa Lv. 2	140	Ice	22	(No Element)	0	5	Blue	White	White
302	Daora's Farasa Lv. 3	170	Ice	26	(No Element)	0	5	White	White	White
303	Daora's Janah Lv. 4	180	Ice	28	(No Element)	0	5	White	White	White
304	Daora's Janah Lv. 5	270	Ice	30	(No Element)	0	5	White	White	White
305	Daora's Ajniha Lv. 6	310	Ice	32	(No Element)	0	5	White	Purple	Purple
