ID	name	combo	MV	hitCount	damageType	sharpnessMod	elementMod	KO	exhaust	moveElement	mindsEye	aerial	miscNotes
39	Wide Lv 5	A	48	1	Fixed	1	1	0	0	Fire 12	Yes	No	
40	Wide Lv 1 (Gen)	A	16	1	Fixed	1	1	0	0	Fire 6	Yes	No	
41	Wide Lv 2 (Gen)	A	24	1	Fixed	1	1	0	0	Fire 8	Yes	No	
42	Wide Lv 3 (Gen)	A	32	1	Fixed	1	1	0	0	Fire 10	Yes	No	
43	Wide Lv 4 (Gen)	A	35	1	Fixed	1	1	0	0	Fire 11	Yes	No	
44	Wyvernsfire Lv 1	R X+A	120	4	Fixed	1	1	0	0	Fire 40	Yes	No	
45	Wyvernsfire Lv 1 (Individual Hits)	R X+A	30	1	Fixed	1	1	0	0	Fire 10	Yes	No	
46	Wyvernsfire Lv 2	R X+A	140	4	Fixed	1	1	0	0	Fire 44	Yes	No	
47	Wyvernsfire Lv 2 (Individual Hits)	R X+A	35	1	Fixed	1	1	0	0	Fire 11 	Yes	No	
48	Wyvernsfire Lv 3	R X+A	160	4	Fixed	1	1	0	0	Fire 48	Yes	No	
49	Wyvernsfire Lv 3 (Individual Hits)	R X+A	40	1	Fixed	1	1	0	0	Fire 12	Yes	No	
50	Wyvernsfire Lv 4	R X+A	180	4	Fixed	1	1	0	0	Fire 52	Yes	No	
51	Wyvernsfire Lv 4 (Individual Hits)	R X+A	45	1	Fixed	1	1	0	0	Fire 13	Yes	No	
52	Wyvernsfire Lv 5	R X+A	200	4	Fixed	1	1	0	0	Fire 56	Yes	No	
53	Wyvernsfire Lv 5 (Individual Hits)	R X+A	50	1	Fixed	1	1	0	0	Fire 14	Yes	No	
54	Dragon Blast I		*	1	Fixed	1	1	0	0		Yes	No	Damage Dealt: See Individual Hits.
55	Dragon Blast II		*	1	Fixed	1	1	0	0		Yes	No	Damage Dealt: See Individual Hits.
56	Dragon Blast III		*	1	Fixed	1	1	0	0		Yes	No	Damage Dealt: See Individual Hits.
57	Dragon Blast I (Opener)		*	1	Fixed	1	1	0	0		Yes	No	48 * (1 + weaponRaw * 0.7 / 100)
58	Dragon Blast II (Opener)		*	1	Fixed	1	1	0	0		Yes	No	49 * (1 + weaponRaw * 0.7 / 100)
59	Dragon Blast III (Opener)		*	1	Fixed	1	1	0	0		Yes	No	49 * (1 + weaponRaw * 0.7 / 100)
60	Dragon Blast (Following Hits)		*	1	Fixed	1	1	0	0		Yes	No	10 * (1 + weaponRaw * 0.7 / 100)
61	Blast Dash		74	2	Cut	1	1	0	0		Yes	No	
62	Blast Dash (Hit 1)		24	1	Cut	1	1	0	0		Yes	No	
63	Blast Dash (Hit 2)		50	1	Cut	1	1	0	0		Yes	No	
